nct_id,Type,Value,Action
NCT00859222,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00876993,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00880061,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00883298,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00883688,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00892177,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00898755,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00899834,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00919750,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00939770,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00968240,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00995007,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01009307,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01024907,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01026493,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01065805,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01067469,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01109095,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01110876,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01115777,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01116661,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01117168,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01122888,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01125800,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01128218,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01130077,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01135550,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01138033,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01140568,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01144247,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01144988,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01151670,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01158651,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01164189,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01166308,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01172964,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01177397,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01181193,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01183663,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01188096,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01189240,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01204684,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01208831,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01209442,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01212237,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01212731,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01217437,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01218542,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01222780,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01227434,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01238237,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01239316,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01248754,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01248949,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01250470,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01260506,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01266031,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01269853,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01269918,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01273090,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01288235,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01288573,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01290263,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01295632,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01301430,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01303497,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01303835,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01305941,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01324479,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01324635,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01331135,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01331291,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01331616,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01339052,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01342237,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01346267,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01349036,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01349660,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01351519,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01353625,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01358058,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01372774,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01378481,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01380782,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01381718,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01386450,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01386710,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01390571,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01391143,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01392209,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01392352,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01393912,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01400672,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01403285,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01432171,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01433991,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01435395,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01445288,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01445691,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01447810,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01449461,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01452854,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01462695,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01464177,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01466686,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01478178,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01478321,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01478854,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01480050,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01483820,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01491893,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01497860,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01502605,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01508104,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01512147,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01516905,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01517776,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01518413,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01520870,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01522820,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01525459,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01526837,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01528046,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01528670,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01535183,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01535430,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01535898,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01535911,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01538095,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01540175,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01540513,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01543542,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01553149,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01562197,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01564914,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01567202,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01574092,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01577966,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01579253,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01580969,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01582152,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01582516,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01586078,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01587144,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01598454,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01598597,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01601184,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01601314,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01604590,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01613417,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01618747,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01621295,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01621542,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01622868,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01635283,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01638130,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01642342,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01644955,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01648348,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01654497,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01657734,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01657799,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01661400,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01663012,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01666600,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01670890,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01672463,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01678352,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01689402,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01698437,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01707836,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01708174,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01716468,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01721577,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01724606,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01729260,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01730950,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01734512,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01737346,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01737671,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01738646,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01738880,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01742260,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01743950,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01751308,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01753713,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01754350,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01755624,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01756352,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01770626,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01774253,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01779219,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01781468,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01792310,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01792505,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01801813,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01801852,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01802567,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01804634,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01806155,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01806675,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01810744,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01813877,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01833273,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01836549,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01846871,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01847235,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01849484,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01856933,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01866449,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01868906,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01870726,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01872221,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01875601,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01884922,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01884987,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01887522,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01891747,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01892397,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01898273,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01902771,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01907165,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01920191,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01929720,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01931098,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01933815,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01944761,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01951950,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01952769,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01954030,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01954576,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01956734,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01957735,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01967758,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01967810,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01972750,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01975116,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01975701,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01987596,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01988675,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01989052,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01989884,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT01999270,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02006407,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02006563,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02007798,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02017717,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02022800,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02023346,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02025231,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02028325,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02031965,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02035852,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02037945,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02038218,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02045368,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02045381,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02046187,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02047214,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02052648,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02058745,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02060890,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02060955,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02069080,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02070380,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02077504,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02078648,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02090010,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02093117,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02095132,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02103920,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02104310,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02113358,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02115074,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02116530,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02129712,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02133183,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02168270,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02176720,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02186262,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02201381,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02202993,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02207010,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02209376,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02234297,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02253212,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02259218,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02263105,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02273739,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02300506,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02343406,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02348255,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02441322,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02489071,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02658981,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02659800,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02684838,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT02725684,Tag,GBM Prior Therapy|Gliadel|Allowed,Add
NCT00085202,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00275067,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00276640,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00302159,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00313729,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00336024,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00392327,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00482677,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00602667,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00626483,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00626990,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00660543,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00669669,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00813566,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00841555,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00862173,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00867178,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00869401,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00879437,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00887146,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00890032,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00890786,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00902577,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00939315,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00943007,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00967330,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00978458,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT00998010,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT01006044,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT01011920,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT01012609,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT01062399,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT01062425,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT01086345,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT01088035,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT01096368,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT01102595,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT01105702,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT01112527,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT01119599,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT01124240,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT01124461,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT01145170,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
NCT01149109,Tag,GBM Prior Therapy|Gliadel|Not Allowed,Add
